video_id,nicho_tribu,producto_mercadona,titulo,hashtags,url_video,fecha_publicacion,vistas,likes,comentarios
V00015,Gym Enthusiast,Claras de Huevo,Receta Post-Entreno Proteica,"#proteina, #volumen, #mercadona",https://www.tiktok.com/@gymfoodie/video/715785148842524368,2025-08-11 14:04:48,126580,8893,1265
V00016,Eco-Friendly,Detergente Ecológico,Mi Compra a Granel,"#bio, #ecofriendly, #zerowaste, #mercadona, #detergenteecológico",https://www.tiktok.com/@eco_hacks/video/785660631444029851,2025-10-18 14:04:48,15494,1142,70
V00017,Familia Numerosa,Detergente Lavadora Formato XL,Tuppers para Toda la Semana Familiar,"#comprasemanal, #recetasencasa, #mercadona",https://www.tiktok.com/@misfamiliafood/video/747003887827483299,2025-05-20 14:04:48,14601,347,18
V00018,Eco-Friendly,Champú Sólido,Mi Compra a Granel,"#plasticfree, #productosverdes, #sostenible, #zerowaste, #mercadona",https://www.tiktok.com/@eco_hacks/video/775577842884937869,2025-09-06 14:04:48,33161,842,105
V00019,Eco-Friendly,Champú Sólido,Mi Compra a Granel,"#zerowaste, #productosverdes, #plasticfree",https://www.tiktok.com/@eco_hacks/video/729990673354823757,2025-05-24 14:04:48,30396,1058,125
V00020,Conveniente/Express,Pizza Congelada Variada,Platos Preparados que Valen la Pena,"#express, #rapido, #ahorratiempo, #comidapreparada, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/732474874204504300,2025-06-06 14:04:48,163996,6027,657
V00021,Vegano,Garbanzos Cocidos (Bote),Tofu Revuelto Épico,"#singluten, #recetasveganas, #mercadona, #vegano, #mercadona, #hacendado, #garbanzoscocidos",https://www.tiktok.com/@veganlife_es/video/797680907281133464,2025-10-12 14:04:48,40954,2089,296
V00022,Conveniente/Express,Lasaña de Carne Refrigerada,Platos Preparados que Valen la Pena,"#soltero, #cenafacil, #mercadona, #hacendado, #lasañadecarnerefrigerada",https://www.tiktok.com/@quickmeals_es/video/718451324727441187,2025-07-02 14:04:48,81678,6219,773
V00023,Gym Enthusiast,Barrita de Proteínas (Sabor Varios),Receta Post-Entreno Proteica,"#mercadona, #proteina, #fitness",https://www.tiktok.com/@gymfoodie/video/783398653281472981,2025-06-20 14:04:48,182850,12800,880
V00024,Gym Enthusiast,Pechuga de Pavo Loncheada,La Mejor Proteína Barata de Hacendado,"#gymtok, #proteina, #recetasfit, #volumen",https://www.tiktok.com/@gymfoodie/video/745967170364131218,2025-10-16 14:04:48,188668,10428,1508
V00025,Eco-Friendly,Detergente Ecológico,Alternativas Sostenibles en el Baño,"#sostenible, #plasticfree, #bio, #detergenteecológico",https://www.tiktok.com/@eco_hacks/video/720605775276233857,2025-06-18 14:04:48,25624,832,45
V00026,Vegano,Tofu Ecológico Hacendado,Tofu Revuelto Épico,"#plantbased, #singluten, #tofu, #recetasveganas, #hacendado",https://www.tiktok.com/@veganlife_es/video/766156801578368571,2025-10-22 14:04:48,61983,3597,308
V00027,Gym Enthusiast,Queso Fresco Batido 0%,Receta Post-Entreno Proteica,"#proteina, #mercadona, #mercadona",https://www.tiktok.com/@gymfoodie/video/772572201714236590,2025-08-12 14:04:48,87876,4649,246
V00028,Gym Enthusiast,Crema de Cacahuete Natural,Receta Post-Entreno Proteica,"#fitness, #mercadona, #volumen, #proteina, #hacendado",https://www.tiktok.com/@gymfoodie/video/783290668410056971,2025-06-26 14:04:48,38760,1983,154
V00029,Eco-Friendly,Arroz Integral BIO,Alternativas Sostenibles en el Baño,"#zerowaste, #plasticfree, #mercadona, #arrozintegralbio",https://www.tiktok.com/@eco_hacks/video/752925030758768562,2025-10-19 14:04:48,43289,3366,393
V00030,Familia Numerosa,Arroz Redondo (Saco 5kg),Tuppers para Toda la Semana Familiar,"#recetasencasa, #packahorro, #mercadona",https://www.tiktok.com/@misfamiliafood/video/790806173280680961,2025-08-06 14:04:48,33529,2003,188
V00031,Celíaco/Intolerancias,Pasta de Maíz/Arroz (Sin Gluten),Postres aptos para Celíacos,"#intolerancia, #sinlactosa, #hacendado, #pastademaíz/arroz",https://www.tiktok.com/@celiaco_reviews/video/752797581271648850,2025-10-27 14:04:48,26749,889,92
V00032,Vegano,Garbanzos Cocidos (Bote),Postres Veganos Ricos y Rápidos,"#tofu, #plantbased, #singluten, #mercadona, #garbanzoscocidos",https://www.tiktok.com/@veganlife_es/video/706638872347646207,2025-09-29 14:04:48,135876,9849,1180
V00033,Gourmet/Premium,Vino Tinto Reserva,Aceite de Oliva AOVE: El Test,"#aove, #recetapremium, #mercadona",https://www.tiktok.com/@gourmet_reviews/video/752434758355115886,2025-06-27 14:04:48,22810,472,65
V00034,Conveniente/Express,Pizza Congelada Variada,Tuppers de la Semana para Solteros,"#express, #soltero, #ahorratiempo, #comidapreparada, #mercadona",https://www.tiktok.com/@quickmeals_es/video/770344322223633706,2025-06-19 14:04:48,75006,3680,260
V00035,Vegano,Hummus Clásico,Tofu Revuelto Épico,"#singluten, #plantbased, #mercadona",https://www.tiktok.com/@veganlife_es/video/701635569835941730,2025-11-03 14:04:48,140650,4209,238
V00036,Familia Numerosa,Pack Ahorro de Leche Entera (6L),Recetas de Pasta que Encantan a Todos,"#organizacion, #familia, #packahorro, #granel",https://www.tiktok.com/@misfamiliafood/video/798501432953559243,2025-07-21 14:04:48,49586,1004,92
V00037,Familia Numerosa,Detergente Lavadora Formato XL,Compra Mensual en Mercadona (MAXI CESTA),"#organizacion, #familia, #comprasemanal, #recetasencasa, #mercadona, #hacendado, #detergentelavadoraformatoxl",https://www.tiktok.com/@misfamiliafood/video/771375869742536834,2025-05-29 14:04:48,23400,951,87
V00038,Gym Enthusiast,Claras de Huevo,Cena FIT en 10 minutos,"#gymtok, #volumen, #proteina, #recetasfit, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/783333515536492405,2025-05-18 14:04:48,119655,3818,517
V00039,Conveniente/Express,Pizza Congelada Variada,Platos Preparados que Valen la Pena,"#rapido, #cenafacil, #soltero, #hacendado",https://www.tiktok.com/@quickmeals_es/video/701411838259977816,2025-08-19 14:04:48,12128,569,48
V00040,Celíaco/Intolerancias,Pan Tostado Sin Gluten,Postres aptos para Celíacos,"#celiaco, #glutenfree, #intolerancia, #mercadona, #pantostadosingluten",https://www.tiktok.com/@celiaco_reviews/video/768323820345563324,2025-06-22 14:04:48,22857,1293,67
V00041,Vegano,Hummus Clásico,Postres Veganos Ricos y Rápidos,"#tofu, #plantbased, #recetasveganas, #mercadona",https://www.tiktok.com/@veganlife_es/video/776359834336272100,2025-05-24 14:04:48,212740,6787,800
V00042,Vegano,Bebida de Avena BIO,Postres Veganos Ricos y Rápidos,"#singluten, #mercadona, #vegano, #tofu",https://www.tiktok.com/@veganlife_es/video/731932158251967036,2025-07-27 14:04:48,29511,1390,93
V00043,Vegano,Hummus Clásico,Postres Veganos Ricos y Rápidos,"#tofu, #singluten, #plantbased, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/777316416936692539,2025-09-22 14:04:48,95555,2854,145
V00044,Gym Enthusiast,Claras de Huevo,Receta Post-Entreno Proteica,"#proteina, #recetasfit",https://www.tiktok.com/@gymfoodie/video/759297706512693066,2025-07-07 14:04:48,40755,2575,158
V00045,Vegano,Bebida de Avena BIO,Alternativas Vegetales TOP en el Súper,"#mercadona, #vegano, #plantbased, #mercadona, #hacendado, #bebidadeavenabio",https://www.tiktok.com/@veganlife_es/video/753740678695584297,2025-06-17 14:04:48,76995,2841,304
V00046,Familia Numerosa,Pasta Espagueti (1kg),Recetas de Pasta que Encantan a Todos,"#organizacion, #packahorro, #mercadona",https://www.tiktok.com/@misfamiliafood/video/720824036491922905,2025-11-10 14:04:48,28818,1048,64
V00047,Conveniente/Express,Lasaña de Carne Refrigerada,Cena por Menos de 5€ y en 5 Minutos,"#comidapreparada, #ahorratiempo, #cenafacil, #rapido",https://www.tiktok.com/@quickmeals_es/video/710253149013344347,2025-06-08 14:04:48,115806,3967,318
V00048,Gourmet/Premium,Queso Curado Añejo,Catando el Queso Manchego Curado,"#cata, #delicatessen, #mercadona",https://www.tiktok.com/@gourmet_reviews/video/728432871454961482,2025-06-07 14:04:48,40076,1986,221
V00049,Conveniente/Express,Lasaña de Carne Refrigerada,Platos Preparados que Valen la Pena,"#rapido, #express, #soltero, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/706602871462873193,2025-08-26 14:04:48,51140,2840,414
V00050,Familia Numerosa,Huevos Talla L (Docena),Compra Mensual en Mercadona (MAXI CESTA),"#recetasencasa, #comprasemanal, #packahorro, #hacendado",https://www.tiktok.com/@misfamiliafood/video/700854189175980739,2025-08-02 14:04:48,34638,1115,158
V00051,Familia Numerosa,Pasta Espagueti (1kg),Tuppers para Toda la Semana Familiar,"#familia, #recetasencasa, #organizacion, #comprasemanal, #mercadona",https://www.tiktok.com/@misfamiliafood/video/713240881759032463,2025-08-25 14:04:48,5282,149,16
V00052,Familia Numerosa,Huevos Talla L (Docena),Tuppers para Toda la Semana Familiar,"#familia, #granel, #packahorro, #recetasencasa, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/771389743918144960,2025-06-30 14:04:48,27706,1430,195
V00053,Conveniente/Express,Pizza Congelada Variada,Cena por Menos de 5€ y en 5 Minutos,"#rapido, #soltero, #comidapreparada, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/711341177479690853,2025-08-14 14:04:48,189830,4776,709
V00054,Conveniente/Express,Tortilla de Patatas Envasada,Platos Preparados que Valen la Pena,"#express, #soltero, #rapido, #comidapreparada, #mercadona",https://www.tiktok.com/@quickmeals_es/video/769063556692260755,2025-11-03 14:04:48,119472,2495,131
V00055,Eco-Friendly,Detergente Ecológico,Productos Zero Waste de Mercadona,"#plasticfree, #ecofriendly, #productosverdes, #mercadona",https://www.tiktok.com/@eco_hacks/video/737156615560056775,2025-10-14 14:04:48,45553,3344,271
V00056,Conveniente/Express,Tortilla de Patatas Envasada,Cena por Menos de 5€ y en 5 Minutos,"#soltero, #comidapreparada, #cenafacil, #mercadona",https://www.tiktok.com/@quickmeals_es/video/780626737229604691,2025-08-04 14:04:48,171352,10845,652
V00057,Vegano,Hamburguesas Vegetales (Sabor X),Alternativas Vegetales TOP en el Súper,"#plantbased, #vegano, #recetasveganas, #mercadona, #mercadona",https://www.tiktok.com/@veganlife_es/video/713609522298022126,2025-10-22 14:04:48,37108,2845,339
V00058,Conveniente/Express,Ensalada Completa Lista para Comer,Tuppers de la Semana para Solteros,"#rapido, #cenafacil, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/795616626679215202,2025-07-02 14:04:48,200055,6143,602
V00059,Vegano,Tofu Ecológico Hacendado,Postres Veganos Ricos y Rápidos,"#plantbased, #vegano, #singluten, #hacendado, #tofuecológicohacendado",https://www.tiktok.com/@veganlife_es/video/719985192131341274,2025-10-20 14:04:48,70137,4883,610
V00060,Vegano,Hummus Clásico,Tofu Revuelto Épico,"#singluten, #mercadona, #plantbased, #hummusclásico",https://www.tiktok.com/@veganlife_es/video/719714776728429478,2025-10-15 14:04:48,178820,10888,1335
V00061,Vegano,Bebida de Avena BIO,Tofu Revuelto Épico,"#tofu, #singluten, #plantbased, #vegano, #hacendado",https://www.tiktok.com/@veganlife_es/video/716128108224896211,2025-09-19 14:04:48,38318,1653,174
V00062,Conveniente/Express,Ensalada Completa Lista para Comer,Tuppers de la Semana para Solteros,"#rapido, #comidapreparada, #cenafacil, #express, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/758656467111001413,2025-07-14 14:04:48,137907,10395,1347
V00063,Vegano,Bebida de Avena BIO,Postres Veganos Ricos y Rápidos,"#plantbased, #mercadona, #tofu, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/770295281024486557,2025-11-07 14:04:48,97480,2062,118
V00064,Familia Numerosa,Arroz Redondo (Saco 5kg),Recetas de Pasta que Encantan a Todos,"#granel, #organizacion, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/712067367051065607,2025-06-18 14:04:48,28688,2020,196
V00065,Eco-Friendly,Arroz Integral BIO,Alternativas Sostenibles en el Baño,"#ecofriendly, #plasticfree, #zerowaste, #productosverdes, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/774337578926000694,2025-08-14 14:04:48,16815,1075,149
V00066,Eco-Friendly,Huevos Ecológicos (L),Alternativas Sostenibles en el Baño,"#productosverdes, #plasticfree, #ecofriendly",https://www.tiktok.com/@eco_hacks/video/770728598781907653,2025-08-24 14:04:48,21475,490,37
V00067,Gourmet/Premium,Vino Tinto Reserva,Aceite de Oliva AOVE: El Test,"#recetapremium, #aove, #mercadona",https://www.tiktok.com/@gourmet_reviews/video/782686874169682821,2025-11-04 14:04:48,13719,322,22
V00068,Vegano,Hamburguesas Vegetales (Sabor X),Postres Veganos Ricos y Rápidos,"#recetasveganas, #tofu, #hamburguesasvegetales",https://www.tiktok.com/@veganlife_es/video/763654560989709496,2025-05-29 14:04:48,66905,3797,246
V00069,Familia Numerosa,Pack Ahorro de Leche Entera (6L),Recetas de Pasta que Encantan a Todos,"#organizacion, #familia, #comprasemanal, #packahorro, #mercadona",https://www.tiktok.com/@misfamiliafood/video/725650569211463338,2025-06-07 14:04:48,14282,964,61
V00070,Conveniente/Express,Bandeja de Sushi,Cena por Menos de 5€ y en 5 Minutos,"#comidapreparada, #soltero, #ahorratiempo, #express, #mercadona, #hacendado, #bandejadesushi",https://www.tiktok.com/@quickmeals_es/video/720414454056649448,2025-09-17 14:04:48,72606,3407,314
V00071,Celíaco/Intolerancias,Pasta de Maíz/Arroz (Sin Gluten),Mi Compra CERO LACTOSA,"#sinlactosa, #intolerancia, #singluten",https://www.tiktok.com/@celiaco_reviews/video/788118364282981704,2025-08-14 14:04:48,22100,531,70
V00072,Gym Enthusiast,Pechuga de Pavo Loncheada,Cena FIT en 10 minutos,"#mercadona, #volumen, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/754778384789608578,2025-09-30 14:04:48,118737,6635,429
V00073,Conveniente/Express,Ensalada Completa Lista para Comer,Tuppers de la Semana para Solteros,"#comidapreparada, #soltero, #rapido, #ahorratiempo, #ensaladacompletalistaparacomer",https://www.tiktok.com/@quickmeals_es/video/743675710400725852,2025-10-18 14:04:48,32140,2374,233
V00074,Vegano,Garbanzos Cocidos (Bote),Postres Veganos Ricos y Rápidos,"#singluten, #recetasveganas, #plantbased, #mercadona",https://www.tiktok.com/@veganlife_es/video/778544504961268479,2025-11-07 14:04:48,58804,3190,342
V00075,Gym Enthusiast,Queso Fresco Batido 0%,Cena FIT en 10 minutos,"#volumen, #fitness, #mercadona",https://www.tiktok.com/@gymfoodie/video/730986389032693455,2025-09-08 14:04:48,98846,5283,720
V00076,Conveniente/Express,Tortilla de Patatas Envasada,Platos Preparados que Valen la Pena,"#ahorratiempo, #soltero, #cenafacil, #rapido, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/798818323898698491,2025-10-20 14:04:48,110760,4312,596
V00077,Familia Numerosa,Pack Ahorro de Leche Entera (6L),Compra Mensual en Mercadona (MAXI CESTA),"#comprasemanal, #recetasencasa, #organizacion, #familia, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/758548652775472471,2025-06-01 14:04:48,47308,1241,163
V00078,Gym Enthusiast,Queso Fresco Batido 0%,Cena FIT en 10 minutos,"#gymtok, #volumen, #fitness",https://www.tiktok.com/@gymfoodie/video/793639513541031614,2025-08-15 14:04:48,127599,4703,531
V00079,Vegano,Hamburguesas Vegetales (Sabor X),Tofu Revuelto Épico,"#recetasveganas, #plantbased, #tofu, #vegano, #mercadona, #hamburguesasvegetales",https://www.tiktok.com/@veganlife_es/video/760266364766769643,2025-08-11 14:04:48,16424,1232,91
V00080,Celíaco/Intolerancias,Leche Sin Lactosa,Postres aptos para Celíacos,"#sinlactosa, #apto, #intolerancia, #glutenfree, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/731514366149915713,2025-06-26 14:04:48,11530,610,37
V00081,Celíaco/Intolerancias,Galletas de Arroz,Pan Sin Gluten que Sabe a Pan Real,"#singluten, #sinlactosa, #intolerancia, #celiaco, #hacendado, #galletasdearroz",https://www.tiktok.com/@celiaco_reviews/video/753598635699207840,2025-09-14 14:04:48,31752,1405,78
V00082,Conveniente/Express,Tortilla de Patatas Envasada,Tuppers de la Semana para Solteros,"#soltero, #ahorratiempo, #rapido, #express, #tortilladepatatasenvasada",https://www.tiktok.com/@quickmeals_es/video/797715988364190515,2025-09-01 14:04:48,90720,4655,498
V00083,Gym Enthusiast,Barrita de Proteínas (Sabor Varios),La Mejor Proteína Barata de Hacendado,"#recetasfit, #mercadona, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/717243753395523560,2025-07-02 14:04:48,103570,2705,271
V00084,Gym Enthusiast,Pechuga de Pavo Loncheada,Cena FIT en 10 minutos,"#recetasfit, #mercadona, #gymtok, #mercadona, #pechugadepavoloncheada",https://www.tiktok.com/@gymfoodie/video/733289051251804537,2025-10-18 14:04:48,85615,2964,272
V00085,Eco-Friendly,Arroz Integral BIO,Productos Zero Waste de Mercadona,"#plasticfree, #zerowaste, #productosverdes, #mercadona, #arrozintegralbio",https://www.tiktok.com/@eco_hacks/video/749718009638354581,2025-08-11 14:04:48,16988,1225,111
V00086,Gym Enthusiast,Crema de Cacahuete Natural,La Mejor Proteína Barata de Hacendado,"#fitness, #gymtok, #recetasfit, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/792909597922233821,2025-06-11 14:04:48,181760,14159,1590
V00087,Eco-Friendly,Huevos Ecológicos (L),Mi Compra a Granel,"#bio, #plasticfree, #huevosecológicos",https://www.tiktok.com/@eco_hacks/video/736455956805934456,2025-09-12 14:04:48,48596,1942,197
V00088,Gourmet/Premium,Queso Curado Añejo,Ideas para una Cena Romántica Premium,"#gourmet, #cata, #recetapremium, #mercadona, #quesocuradoañejo",https://www.tiktok.com/@gourmet_reviews/video/791952909077398346,2025-10-25 14:04:48,49525,1479,175
V00089,Familia Numerosa,Pasta Espagueti (1kg),Compra Mensual en Mercadona (MAXI CESTA),"#granel, #familia, #mercadona",https://www.tiktok.com/@misfamiliafood/video/734172171621024736,2025-07-02 14:04:48,15062,960,65
V00090,Eco-Friendly,Detergente Ecológico,Productos Zero Waste de Mercadona,"#bio, #sostenible, #ecofriendly, #zerowaste, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/754974987605402652,2025-07-08 14:04:48,30856,2433,214
V00091,Conveniente/Express,Pizza Congelada Variada,Tuppers de la Semana para Solteros,"#express, #cenafacil, #comidapreparada, #mercadona",https://www.tiktok.com/@quickmeals_es/video/754753219717686747,2025-08-12 14:04:48,93754,5956,488
V00092,Vegano,Hummus Clásico,Tofu Revuelto Épico,"#recetasveganas, #singluten, #mercadona",https://www.tiktok.com/@veganlife_es/video/754533103858637784,2025-06-14 14:04:48,64270,4526,650
V00093,Vegano,Hummus Clásico,Tofu Revuelto Épico,"#vegano, #mercadona, #tofu, #mercadona",https://www.tiktok.com/@veganlife_es/video/775653765664209802,2025-05-16 14:04:48,20918,722,83
V00094,Gym Enthusiast,Claras de Huevo,Cena FIT en 10 minutos,"#fitness, #recetasfit, #mercadona, #mercadona",https://www.tiktok.com/@gymfoodie/video/758860195352762878,2025-08-28 14:04:48,64662,2421,318
V00095,Eco-Friendly,Champú Sólido,Mi Compra a Granel,"#ecofriendly, #productosverdes, #sostenible, #mercadona",https://www.tiktok.com/@eco_hacks/video/743097712256640244,2025-10-27 14:04:48,33602,2269,291
V00096,Vegano,Garbanzos Cocidos (Bote),Tofu Revuelto Épico,"#vegano, #mercadona, #singluten, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/717876367287325294,2025-06-17 14:04:48,176856,13558,1906
V00097,Eco-Friendly,Arroz Integral BIO,Alternativas Sostenibles en el Baño,"#sostenible, #productosverdes, #zerowaste",https://www.tiktok.com/@eco_hacks/video/718391014149417414,2025-07-06 14:04:48,26965,1478,146
V00098,Vegano,Bebida de Avena BIO,Postres Veganos Ricos y Rápidos,"#tofu, #singluten, #mercadona, #plantbased",https://www.tiktok.com/@veganlife_es/video/743920753119280325,2025-07-05 14:04:48,70390,3756,417
V00099,Conveniente/Express,Ensalada Completa Lista para Comer,Cena por Menos de 5€ y en 5 Minutos,"#rapido, #ahorratiempo, #hacendado, #ensaladacompletalistaparacomer",https://www.tiktok.com/@quickmeals_es/video/748605914046603306,2025-09-17 14:04:48,88708,3637,414
V00100,Eco-Friendly,Detergente Ecológico,Productos Zero Waste de Mercadona,"#productosverdes, #ecofriendly, #sostenible, #zerowaste, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/728649223333802623,2025-07-06 14:04:48,31542,1394,123
V00101,Conveniente/Express,Pizza Congelada Variada,Tuppers de la Semana para Solteros,"#express, #cenafacil, #comidapreparada, #hacendado",https://www.tiktok.com/@quickmeals_es/video/759170973272105610,2025-11-04 14:04:48,114135,4429,330
V00102,Conveniente/Express,Tortilla de Patatas Envasada,Platos Preparados que Valen la Pena,"#comidapreparada, #rapido, #express, #soltero",https://www.tiktok.com/@quickmeals_es/video/730522985772387220,2025-06-09 14:04:48,82689,1750,254
V00103,Gym Enthusiast,Crema de Cacahuete Natural,Receta Post-Entreno Proteica,"#volumen, #proteina, #fitness",https://www.tiktok.com/@gymfoodie/video/726864290689021625,2025-11-02 14:04:48,85954,5326,553
V00104,Gym Enthusiast,Claras de Huevo,La Mejor Proteína Barata de Hacendado,"#mercadona, #volumen, #gymtok, #hacendado",https://www.tiktok.com/@gymfoodie/video/787642051011074789,2025-06-04 14:04:48,198612,4369,239
V00105,Vegano,Bebida de Avena BIO,Tofu Revuelto Épico,"#recetasveganas, #tofu, #mercadona",https://www.tiktok.com/@veganlife_es/video/725928989339214009,2025-05-17 14:04:48,176220,8646,959
V00106,Familia Numerosa,Arroz Redondo (Saco 5kg),Recetas de Pasta que Encantan a Todos,"#comprasemanal, #packahorro",https://www.tiktok.com/@misfamiliafood/video/711604278982675598,2025-08-08 14:04:48,47312,1439,113
V00107,Conveniente/Express,Tortilla de Patatas Envasada,Tuppers de la Semana para Solteros,"#express, #ahorratiempo, #mercadona, #hacendado, #tortilladepatatasenvasada",https://www.tiktok.com/@quickmeals_es/video/764648635354070184,2025-05-22 14:04:48,138184,3985,225
V00108,Vegano,Bebida de Avena BIO,Postres Veganos Ricos y Rápidos,"#vegano, #plantbased, #singluten, #mercadona, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/786603847206513278,2025-07-12 14:04:48,207740,6072,697
V00109,Celíaco/Intolerancias,Leche Sin Lactosa,Postres aptos para Celíacos,"#apto, #sinlactosa, #glutenfree, #mercadona",https://www.tiktok.com/@celiaco_reviews/video/700964934278842119,2025-10-30 14:04:48,12426,812,71
V00110,Conveniente/Express,Tortilla de Patatas Envasada,Cena por Menos de 5€ y en 5 Minutos,"#rapido, #cenafacil, #hacendado",https://www.tiktok.com/@quickmeals_es/video/734563470360101755,2025-07-15 14:04:48,143240,11400,829
V00111,Gym Enthusiast,Claras de Huevo,Cena FIT en 10 minutos,"#fitness, #proteina, #volumen, #gymtok",https://www.tiktok.com/@gymfoodie/video/718024014894121914,2025-09-23 14:04:48,49230,3446,480
V00112,Vegano,Hamburguesas Vegetales (Sabor X),Alternativas Vegetales TOP en el Súper,"#recetasveganas, #plantbased, #mercadona, #vegano, #mercadona",https://www.tiktok.com/@veganlife_es/video/772364129527699898,2025-07-24 14:04:48,85893,4147,242
V00113,Gym Enthusiast,Queso Fresco Batido 0%,La Mejor Proteína Barata de Hacendado,"#fitness, #gymtok, #mercadona",https://www.tiktok.com/@gymfoodie/video/757984451272215995,2025-09-22 14:04:48,67716,4374,541
V00114,Eco-Friendly,Bolsas Reutilizables Fruta,Mi Compra a Granel,"#productosverdes, #ecofriendly",https://www.tiktok.com/@eco_hacks/video/776939408726994045,2025-10-10 14:04:48,35122,2740,301
V00115,Gym Enthusiast,Claras de Huevo,Receta Post-Entreno Proteica,"#proteina, #recetasfit, #volumen, #mercadona, #hacendado, #clarasdehuevo",https://www.tiktok.com/@gymfoodie/video/746069144855879123,2025-07-26 14:04:48,39396,2300,165
