video_id,nicho_tribu,titulo,hashtags,url_video,fecha_publicacion,vistas,likes,comentarios
V00019,Gym Enthusiast,Cena FIT en 10 minutos,"#gymtok, #proteina, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/728258177397566175,2025-07-21 12:10:08,188390,7632,607
V00020,Eco-Friendly,Alternativas Sostenibles en el Baño,"#bio, #plasticfree, #productosverdes, #mercadona",https://www.tiktok.com/@eco_hacks/video/730425441431337035,2025-05-23 12:10:08,40312,2989,349
V00021,Celíaco/Intolerancias,Postres aptos para Celíacos,"#glutenfree, #intolerancia, #mercadona, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/799380780249833939,2025-08-02 12:10:08,8286,501,58
V00022,Gym Enthusiast,Receta Post-Entreno Proteica,"#mercadona, #proteina, #fitness, #gymtok",https://www.tiktok.com/@gymfoodie/video/785113146913688385,2025-05-25 12:10:08,69813,1459,145
V00023,Vegano,Tofu Revuelto Épico,"#plantbased, #mercadona, #tofu",https://www.tiktok.com/@veganlife_es/video/779046304552975944,2025-09-13 12:10:08,94116,7196,1004
V00024,Eco-Friendly,Productos Zero Waste de Mercadona,"#bio, #productosverdes, #mercadona",https://www.tiktok.com/@eco_hacks/video/782484295694636893,2025-07-11 12:10:08,12272,531,55
V00025,Gym Enthusiast,Receta Post-Entreno Proteica,"#proteina, #mercadona, #recetasfit, #mercadona",https://www.tiktok.com/@gymfoodie/video/737878640395585585,2025-07-06 12:10:08,125596,4108,282
V00026,Celíaco/Intolerancias,Mi Compra CERO LACTOSA,"#apto, #glutenfree, #singluten, #mercadona, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/778296059454771565,2025-08-21 12:10:08,23853,1697,163
V00027,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#organizacion, #packahorro, #comprasemanal, #recetasencasa, #hacendado",https://www.tiktok.com/@misfamiliafood/video/751652415690738336,2025-10-31 12:10:08,29242,2154,119
V00028,Gym Enthusiast,Cena FIT en 10 minutos,"#mercadona, #gymtok, #recetasfit, #fitness, #mercadona, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/711935881274863189,2025-05-26 12:10:08,99678,7014,903
V00029,Celíaco/Intolerancias,Postres aptos para Celíacos,"#apto, #glutenfree, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@celiaco_reviews/video/785371514465202632,2025-10-07 12:10:08,45779,2219,236
V00030,Conveniente/Express,Platos Preparados que Valen la Pena,"#rapido, #ahorratiempo, #cenafacil, #mercadona, #recetasfaciles",https://www.tiktok.com/@quickmeals_es/video/761439462983757844,2025-05-21 12:10:08,68598,4062,499
V00031,Conveniente/Express,Platos Preparados que Valen la Pena,"#cenafacil, #comidapreparada, #hacendado",https://www.tiktok.com/@quickmeals_es/video/705896536893654289,2025-09-22 12:10:08,185940,8866,856
V00032,Gym Enthusiast,Cena FIT en 10 minutos,"#gymtok, #fitness",https://www.tiktok.com/@gymfoodie/video/796861303852009679,2025-10-18 12:10:08,85818,2178,226
V00033,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#packahorro, #organizacion, #recetasencasa, #granel",https://www.tiktok.com/@misfamiliafood/video/779624043195992560,2025-10-30 12:10:08,17991,900,134
V00034,Eco-Friendly,Alternativas Sostenibles en el Baño,"#ecofriendly, #plasticfree, #mercadona",https://www.tiktok.com/@eco_hacks/video/713102558490493457,2025-07-17 12:10:08,22456,1664,206
V00035,Gym Enthusiast,Receta Post-Entreno Proteica,"#volumen, #proteina, #recetasfit, #mercadona, #mercadona, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/774709886529157866,2025-10-27 12:10:08,49876,1153,155
V00036,Eco-Friendly,Mi Compra a Granel,"#zerowaste, #ecofriendly, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/721634855829915571,2025-07-10 12:10:08,44701,1217,176
V00037,Gym Enthusiast,Receta Post-Entreno Proteica,"#gymtok, #fitness, #recetasfit, #mercadona",https://www.tiktok.com/@gymfoodie/video/724836208390664600,2025-09-08 12:10:08,96748,1952,164
V00038,Conveniente/Express,Tuppers de la Semana para Solteros,"#rapido, #comidapreparada, #cenafacil, #ahorratiempo, #recetasfaciles",https://www.tiktok.com/@quickmeals_es/video/797732848914678389,2025-10-12 12:10:08,119455,6992,377
V00039,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#comprasemanal, #granel, #familia, #hacendado",https://www.tiktok.com/@misfamiliafood/video/760089790371853841,2025-10-26 12:10:08,10172,271,19
V00040,Eco-Friendly,Mi Compra a Granel,"#sostenible, #ecofriendly, #plasticfree, #productosverdes, #mercadona",https://www.tiktok.com/@eco_hacks/video/721503345639792266,2025-09-02 12:10:08,37932,2100,286
V00041,Eco-Friendly,Mi Compra a Granel,"#zerowaste, #productosverdes, #sostenible, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/798254410183724743,2025-08-10 12:10:08,11601,687,101
V00042,Conveniente/Express,Platos Preparados que Valen la Pena,"#ahorratiempo, #cenafacil, #comidapreparada, #express, #mercadona",https://www.tiktok.com/@quickmeals_es/video/726832245662543529,2025-06-21 12:10:08,36240,2663,181
V00043,Vegano,Tofu Revuelto Épico,"#recetasveganas, #mercadona, #tofu",https://www.tiktok.com/@veganlife_es/video/772261832883592320,2025-10-17 12:10:08,104484,5228,554
V00044,Conveniente/Express,Platos Preparados que Valen la Pena,"#rapido, #express, #ahorratiempo, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@quickmeals_es/video/724752361396868516,2025-11-01 12:10:08,75588,5767,835
V00045,Gym Enthusiast,Receta Post-Entreno Proteica,"#gymtok, #mercadona",https://www.tiktok.com/@gymfoodie/video/709767110078018823,2025-07-14 12:10:08,107874,3292,352
V00046,Familia Numerosa,Recetas de Pasta que Encantan a Todos,"#recetasencasa, #familia, #recetasfaciles",https://www.tiktok.com/@misfamiliafood/video/725893140341681349,2025-09-28 12:10:08,25744,865,45
V00047,Eco-Friendly,Productos Zero Waste de Mercadona,"#plasticfree, #zerowaste, #sostenible, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/765234024795676894,2025-10-11 12:10:08,5297,222,14
V00048,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#cenafacil, #comidapreparada",https://www.tiktok.com/@quickmeals_es/video/776233650537641028,2025-08-11 12:10:08,58311,1645,192
V00049,Eco-Friendly,Alternativas Sostenibles en el Baño,"#ecofriendly, #bio, #productosverdes, #zerowaste, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/799859742638893019,2025-06-02 12:10:08,9654,513,43
V00050,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#packahorro, #organizacion, #comprasemanal, #granel, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/772885574102607993,2025-07-20 12:10:08,9664,566,59
V00051,Vegano,Alternativas Vegetales TOP en el Súper,"#plantbased, #recetasveganas, #tofu, #hacendado",https://www.tiktok.com/@veganlife_es/video/771716589252430687,2025-07-28 12:10:08,110595,6975,377
V00052,Celíaco/Intolerancias,Mi Compra CERO LACTOSA,"#glutenfree, #apto",https://www.tiktok.com/@celiaco_reviews/video/748725912901873017,2025-05-23 12:10:08,40530,979,121
V00053,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#comprasemanal, #recetasencasa, #familia, #recetasfaciles",https://www.tiktok.com/@misfamiliafood/video/751718784844959434,2025-05-27 12:10:08,18181,644,67
V00054,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#recetasencasa, #familia, #granel, #mercadona",https://www.tiktok.com/@misfamiliafood/video/764045465038184325,2025-05-26 12:10:08,29515,1941,221
V00055,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#comidapreparada, #rapido, #ahorratiempo, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@quickmeals_es/video/751826592814702050,2025-07-03 12:10:08,61398,4231,548
V00056,Gourmet/Premium,Aceite de Oliva AOVE: El Test,"#delicatessen, #recetapremium, #mercadona, #hacendado",https://www.tiktok.com/@gourmet_reviews/video/733050607763398654,2025-07-24 12:10:08,14834,997,136
V00057,Eco-Friendly,Mi Compra a Granel,"#plasticfree, #zerowaste, #productosverdes, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/725820377538311571,2025-08-09 12:10:08,40126,2833,343
V00058,Vegano,Alternativas Vegetales TOP en el Súper,"#mercadona, #tofu, #mercadona",https://www.tiktok.com/@veganlife_es/video/766609492763862892,2025-06-05 12:10:08,47936,1288,139
V00059,Gym Enthusiast,Cena FIT en 10 minutos,"#gymtok, #fitness, #mercadona",https://www.tiktok.com/@gymfoodie/video/719103657258989185,2025-05-16 12:10:08,143997,5273,731
V00060,Eco-Friendly,Alternativas Sostenibles en el Baño,"#sostenible, #ecofriendly, #mercadona",https://www.tiktok.com/@eco_hacks/video/792212896127796957,2025-09-03 12:10:08,29581,1980,272
V00061,Vegano,Tofu Revuelto Épico,"#vegano, #mercadona, #plantbased",https://www.tiktok.com/@veganlife_es/video/701046466071078401,2025-07-03 12:10:08,98154,4649,313
V00062,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#cenafacil, #express",https://www.tiktok.com/@quickmeals_es/video/786546236825369036,2025-10-26 12:10:08,213345,13098,1368
V00063,Conveniente/Express,Tuppers de la Semana para Solteros,"#ahorratiempo, #rapido, #soltero, #express, #hacendado",https://www.tiktok.com/@quickmeals_es/video/753686350168315538,2025-06-15 12:10:08,51408,3763,245
V00064,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#rapido, #express, #ahorratiempo, #hacendado",https://www.tiktok.com/@quickmeals_es/video/721782848643436800,2025-09-25 12:10:08,163410,9413,510
V00065,Eco-Friendly,Alternativas Sostenibles en el Baño,"#ecofriendly, #plasticfree, #zerowaste, #productosverdes, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/751454333676145173,2025-06-24 12:10:08,18825,525,75
V00066,Gym Enthusiast,Receta Post-Entreno Proteica,"#recetasfit, #fitness, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/750194930749138864,2025-08-11 12:10:08,147279,8522,1112
V00067,Eco-Friendly,Mi Compra a Granel,"#productosverdes, #plasticfree",https://www.tiktok.com/@eco_hacks/video/731067016169196417,2025-06-22 12:10:08,46994,3120,286
V00068,Vegano,Alternativas Vegetales TOP en el Súper,"#singluten, #mercadona, #plantbased, #mercadona",https://www.tiktok.com/@veganlife_es/video/789130001347630515,2025-05-22 12:10:08,44604,3250,354
V00069,Gym Enthusiast,Cena FIT en 10 minutos,"#gymtok, #recetasfit, #fitness, #volumen, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/717776022810721739,2025-08-20 12:10:08,152376,11332,1445
V00070,Celíaco/Intolerancias,Mi Compra CERO LACTOSA,"#celiaco, #sinlactosa, #singluten",https://www.tiktok.com/@celiaco_reviews/video/709927152613079597,2025-09-23 12:10:08,31643,1451,196
V00071,Vegano,Postres Veganos Ricos y Rápidos,"#mercadona, #vegano, #tofu, #recetasveganas, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/789251530314271709,2025-06-22 12:10:08,73812,4081,535
V00072,Eco-Friendly,Alternativas Sostenibles en el Baño,"#sostenible, #zerowaste, #productosverdes, #ecofriendly",https://www.tiktok.com/@eco_hacks/video/717412889153182800,2025-10-08 12:10:08,5288,144,19
V00073,Vegano,Tofu Revuelto Épico,"#vegano, #tofu, #plantbased, #recetasveganas, #mercadona",https://www.tiktok.com/@veganlife_es/video/766766428639739535,2025-10-03 12:10:08,160175,4962,475
V00074,Gourmet/Premium,Ideas para una Cena Romántica Premium,"#gourmet, #aove",https://www.tiktok.com/@gourmet_reviews/video/724807394470189025,2025-11-05 12:10:08,48938,2193,229
V00075,Celíaco/Intolerancias,Postres aptos para Celíacos,"#singluten, #apto, #celiaco, #sinlactosa, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/732747455177473898,2025-09-22 12:10:08,6895,265,33
V00076,Eco-Friendly,Alternativas Sostenibles en el Baño,"#sostenible, #productosverdes, #mercadona",https://www.tiktok.com/@eco_hacks/video/776131577504963079,2025-08-13 12:10:08,12271,420,39
V00077,Gourmet/Premium,Ideas para una Cena Romántica Premium,"#recetapremium, #cata, #aove",https://www.tiktok.com/@gourmet_reviews/video/789197057277892354,2025-10-01 12:10:08,33128,1541,155
V00078,Eco-Friendly,Mi Compra a Granel,"#ecofriendly, #bio",https://www.tiktok.com/@eco_hacks/video/776743172824276972,2025-10-13 12:10:08,21253,1372,141
V00079,Eco-Friendly,Alternativas Sostenibles en el Baño,"#productosverdes, #ecofriendly, #mercadona",https://www.tiktok.com/@eco_hacks/video/710480999499871346,2025-07-01 12:10:08,42735,2004,176
V00080,Gourmet/Premium,Aceite de Oliva AOVE: El Test,"#aove, #recetapremium, #cata, #delicatessen, #mercadona, #recetasfaciles",https://www.tiktok.com/@gourmet_reviews/video/724183017603617389,2025-08-26 12:10:08,19593,1283,77
V00081,Celíaco/Intolerancias,Pan Sin Gluten que Sabe a Pan Real,"#sinlactosa, #celiaco, #apto, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/751718715989162273,2025-07-03 12:10:08,36456,2390,224
V00082,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#comidapreparada, #soltero",https://www.tiktok.com/@quickmeals_es/video/740122499578895711,2025-06-11 12:10:08,25534,1437,82
V00083,Gym Enthusiast,La Mejor Proteína Barata de Hacendado,"#volumen, #proteina, #gymtok, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/751253557510079009,2025-08-16 12:10:08,182404,7230,401
V00084,Gym Enthusiast,La Mejor Proteína Barata de Hacendado,"#fitness, #mercadona, #proteina, #recetasfit, #mercadona, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/764051696112028860,2025-08-28 12:10:08,175540,6370,932
V00085,Gym Enthusiast,Receta Post-Entreno Proteica,"#mercadona, #fitness, #mercadona",https://www.tiktok.com/@gymfoodie/video/719877776603436741,2025-07-07 12:10:08,33284,1233,87
V00086,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#organizacion, #packahorro, #familia, #comprasemanal, #mercadona",https://www.tiktok.com/@misfamiliafood/video/724455350868679605,2025-10-22 12:10:08,27621,1363,81
V00087,Eco-Friendly,Mi Compra a Granel,"#ecofriendly, #plasticfree, #sostenible, #productosverdes, #mercadona",https://www.tiktok.com/@eco_hacks/video/764695698987509312,2025-07-02 12:10:08,19795,1231,151
V00088,Gym Enthusiast,Receta Post-Entreno Proteica,"#proteina, #recetasfit, #mercadona",https://www.tiktok.com/@gymfoodie/video/729760189925029641,2025-06-16 12:10:08,167024,11429,876
V00089,Familia Numerosa,Recetas de Pasta que Encantan a Todos,"#familia, #granel, #recetasencasa, #organizacion, #recetasfaciles",https://www.tiktok.com/@misfamiliafood/video/761598777270882284,2025-08-11 12:10:08,45819,2509,243
V00090,Eco-Friendly,Alternativas Sostenibles en el Baño,"#bio, #zerowaste, #plasticfree, #ecofriendly",https://www.tiktok.com/@eco_hacks/video/798395480096710016,2025-06-13 12:10:08,13332,753,40
V00091,Eco-Friendly,Mi Compra a Granel,"#ecofriendly, #plasticfree, #zerowaste, #bio, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/701524414104801449,2025-05-25 12:10:08,27862,1983,137
V00092,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#packahorro, #organizacion, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/752547620608989447,2025-10-18 12:10:08,21344,1027,112
V00093,Eco-Friendly,Productos Zero Waste de Mercadona,"#productosverdes, #sostenible, #zerowaste, #bio, #mercadona",https://www.tiktok.com/@eco_hacks/video/795309278203978111,2025-10-07 12:10:08,20717,727,83
V00094,Familia Numerosa,Recetas de Pasta que Encantan a Todos,"#organizacion, #granel, #comprasemanal, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/750266169405832313,2025-10-22 12:10:08,27045,1127,92
V00095,Gym Enthusiast,Receta Post-Entreno Proteica,"#recetasfit, #gymtok, #volumen, #mercadona, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/788151294618336651,2025-06-28 12:10:08,30852,1636,162
V00096,Vegano,Tofu Revuelto Épico,"#mercadona, #recetasveganas, #plantbased, #mercadona, #hacendado",https://www.tiktok.com/@veganlife_es/video/721967929686691393,2025-09-22 12:10:08,48545,1701,200
V00097,Familia Numerosa,Compra Mensual en Mercadona (MAXI CESTA),"#packahorro, #organizacion, #recetasfaciles",https://www.tiktok.com/@misfamiliafood/video/750279745137473921,2025-06-12 12:10:08,28020,1367,101
V00098,Gym Enthusiast,Cena FIT en 10 minutos,"#volumen, #gymtok, #fitness, #hacendado",https://www.tiktok.com/@gymfoodie/video/788880118067033867,2025-09-05 12:10:08,30560,1741,123
V00099,Gym Enthusiast,Cena FIT en 10 minutos,"#gymtok, #fitness, #proteina, #mercadona, #mercadona",https://www.tiktok.com/@gymfoodie/video/763730105929430467,2025-10-16 12:10:08,64818,3895,458
V00100,Eco-Friendly,Alternativas Sostenibles en el Baño,"#plasticfree, #zerowaste, #ecofriendly, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/720283215065202857,2025-08-30 12:10:08,10791,463,27
V00101,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#packahorro, #organizacion, #recetasencasa, #comprasemanal, #mercadona",https://www.tiktok.com/@misfamiliafood/video/750068282286229987,2025-08-09 12:10:08,14002,353,34
V00102,Gym Enthusiast,La Mejor Proteína Barata de Hacendado,"#fitness, #proteina, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/755701723367377944,2025-09-20 12:10:08,69396,1696,194
V00103,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#recetasencasa, #organizacion, #familia, #hacendado",https://www.tiktok.com/@misfamiliafood/video/710871517294362707,2025-10-31 12:10:08,47975,3144,203
V00104,Eco-Friendly,Alternativas Sostenibles en el Baño,"#bio, #productosverdes, #ecofriendly, #plasticfree, #mercadona, #hacendado",https://www.tiktok.com/@eco_hacks/video/763092893871499878,2025-05-22 12:10:08,27955,1010,76
V00105,Conveniente/Express,Platos Preparados que Valen la Pena,"#cenafacil, #soltero, #rapido, #mercadona, #recetasfaciles",https://www.tiktok.com/@quickmeals_es/video/716915376071154647,2025-06-05 12:10:08,162320,11663,889
V00106,Vegano,Tofu Revuelto Épico,"#tofu, #vegano, #plantbased, #hacendado",https://www.tiktok.com/@veganlife_es/video/707128783456354025,2025-07-14 12:10:08,191320,6345,593
V00107,Familia Numerosa,Tuppers para Toda la Semana Familiar,"#granel, #comprasemanal, #mercadona, #hacendado",https://www.tiktok.com/@misfamiliafood/video/717426749494306758,2025-09-09 12:10:08,12575,338,19
V00108,Eco-Friendly,Alternativas Sostenibles en el Baño,"#productosverdes, #plasticfree, #bio, #zerowaste, #mercadona",https://www.tiktok.com/@eco_hacks/video/708685679952932150,2025-07-01 12:10:08,39008,1116,116
V00109,Gym Enthusiast,La Mejor Proteína Barata de Hacendado,"#mercadona, #proteina, #gymtok, #recetasfaciles",https://www.tiktok.com/@gymfoodie/video/788338974196121235,2025-06-27 12:10:08,172816,3833,330
V00110,Eco-Friendly,Productos Zero Waste de Mercadona,"#ecofriendly, #bio, #zerowaste, #plasticfree, #mercadona",https://www.tiktok.com/@eco_hacks/video/769175669400265534,2025-08-31 12:10:08,34303,2259,157
V00111,Gourmet/Premium,Ideas para una Cena Romántica Premium,"#cata, #jamon, #recetapremium, #mercadona, #hacendado",https://www.tiktok.com/@gourmet_reviews/video/712262644879427900,2025-10-20 12:10:08,44925,2673,183
V00112,Vegano,Postres Veganos Ricos y Rápidos,"#singluten, #tofu, #mercadona, #plantbased, #mercadona, #recetasfaciles",https://www.tiktok.com/@veganlife_es/video/733971629233009043,2025-09-28 12:10:08,101885,3311,166
V00113,Celíaco/Intolerancias,Pan Sin Gluten que Sabe a Pan Real,"#celiaco, #sinlactosa, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/734259778389375844,2025-09-07 12:10:08,31341,1585,160
V00114,Gym Enthusiast,La Mejor Proteína Barata de Hacendado,"#proteina, #gymtok, #recetasfit, #hacendado",https://www.tiktok.com/@gymfoodie/video/787307896853350882,2025-08-15 12:10:08,90625,4867,427
V00115,Gym Enthusiast,Receta Post-Entreno Proteica,"#proteina, #gymtok, #volumen, #recetasfit, #mercadona, #hacendado",https://www.tiktok.com/@gymfoodie/video/787598599095742528,2025-05-26 12:10:08,99015,6446,882
V00116,Eco-Friendly,Alternativas Sostenibles en el Baño,"#plasticfree, #bio, #ecofriendly, #hacendado",https://www.tiktok.com/@eco_hacks/video/719855264143710072,2025-07-17 12:10:08,40023,2544,274
V00117,Eco-Friendly,Mi Compra a Granel,"#plasticfree, #productosverdes, #zerowaste, #sostenible, #hacendado",https://www.tiktok.com/@eco_hacks/video/716788411559143594,2025-07-12 12:10:08,45197,1773,88
V00118,Celíaco/Intolerancias,Postres aptos para Celíacos,"#apto, #glutenfree, #mercadona, #hacendado",https://www.tiktok.com/@celiaco_reviews/video/742180207385583154,2025-06-13 12:10:08,19637,1078,109
V00119,Conveniente/Express,Platos Preparados que Valen la Pena,"#rapido, #comidapreparada, #mercadona",https://www.tiktok.com/@quickmeals_es/video/746851263682404289,2025-07-06 12:10:08,192468,7208,987
V00120,Eco-Friendly,Mi Compra a Granel,"#ecofriendly, #productosverdes, #bio, #zerowaste, #hacendado, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/793428769036955810,2025-10-17 12:10:08,26517,967,53
V00121,Familia Numerosa,Recetas de Pasta que Encantan a Todos,"#granel, #organizacion, #comprasemanal, #mercadona",https://www.tiktok.com/@misfamiliafood/video/789312634329851003,2025-07-26 12:10:08,31224,1251,143
V00122,Vegano,Postres Veganos Ricos y Rápidos,"#tofu, #recetasveganas, #plantbased, #vegano, #mercadona, #recetasfaciles",https://www.tiktok.com/@veganlife_es/video/744382057449382274,2025-11-09 12:10:08,19188,1258,151
V00123,Eco-Friendly,Productos Zero Waste de Mercadona,"#ecofriendly, #sostenible, #plasticfree, #mercadona",https://www.tiktok.com/@eco_hacks/video/725173059496975885,2025-05-25 12:10:08,42669,1481,127
V00124,Vegano,Postres Veganos Ricos y Rápidos,"#tofu, #vegano, #singluten, #mercadona, #mercadona, #hacendado, #recetasfaciles",https://www.tiktok.com/@veganlife_es/video/700829835757671953,2025-09-12 12:10:08,192505,14057,1828
V00125,Vegano,Postres Veganos Ricos y Rápidos,"#tofu, #singluten, #recetasfaciles",https://www.tiktok.com/@veganlife_es/video/764802106615944173,2025-07-25 12:10:08,69932,1795,233
V00126,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#soltero, #express, #cenafacil, #ahorratiempo, #mercadona, #hacendado",https://www.tiktok.com/@quickmeals_es/video/713740666790346179,2025-09-17 12:10:08,55524,4128,562
V00127,Eco-Friendly,Mi Compra a Granel,"#zerowaste, #bio, #plasticfree, #productosverdes, #mercadona, #recetasfaciles",https://www.tiktok.com/@eco_hacks/video/729506864605944876,2025-10-24 12:10:08,28246,1722,174
V00128,Conveniente/Express,Platos Preparados que Valen la Pena,"#comidapreparada, #ahorratiempo, #mercadona, #recetasfaciles",https://www.tiktok.com/@quickmeals_es/video/703443957533451354,2025-07-12 12:10:08,77844,5954,830
V00129,Conveniente/Express,Cena por Menos de 5€ y en 5 Minutos,"#comidapreparada, #cenafacil, #soltero, #express, #hacendado",https://www.tiktok.com/@quickmeals_es/video/713200506262271869,2025-07-01 12:10:08,29046,1041,116
