ticket_id,user_id,date,total_amount,store_location
T000115,U0007,2025-08-21,59.0,Mercadona Sevilla
T000116,U0007,2025-09-02,13.4,Mercadona Sevilla
T000117,U0007,2025-09-13,44.2,Mercadona Sevilla
T000118,U0007,2025-09-25,23.9,Mercadona Sevilla
T000119,U0007,2025-10-06,30.2,Mercadona Sevilla
T000120,U0007,2025-10-18,29.2,Mercadona Sevilla
T000121,U0007,2025-10-29,39.8,Mercadona Sevilla
T000122,U0008,2025-03-30,45.3,Mercadona Barcelona
T000123,U0008,2025-04-13,45.9,Mercadona Barcelona
T000124,U0008,2025-04-27,27.9,Mercadona Barcelona
T000125,U0008,2025-05-11,53.7,Mercadona Barcelona
T000126,U0008,2025-05-25,45.9,Mercadona Barcelona
T000127,U0008,2025-06-08,42.9,Mercadona Barcelona
T000128,U0008,2025-06-22,54.0,Mercadona Barcelona
T000129,U0008,2025-07-06,48.0,Mercadona Barcelona
T000130,U0008,2025-07-20,49.5,Mercadona Barcelona
T000131,U0008,2025-08-03,29.7,Mercadona Barcelona
T000132,U0008,2025-08-17,38.1,Mercadona Barcelona
T000133,U0008,2025-08-31,19.5,Mercadona Barcelona
T000134,U0008,2025-09-14,43.2,Mercadona Barcelona
T000135,U0008,2025-09-28,55.2,Mercadona Barcelona
T000136,U0008,2025-10-12,13.8,Mercadona Barcelona
T000137,U0008,2025-10-26,40.2,Mercadona Barcelona
T000138,U0009,2024-01-20,26.95,Mercadona Bilbao
T000139,U0009,2024-03-07,48.95,Mercadona Bilbao
T000140,U0009,2024-04-23,114.5,Mercadona Bilbao
T000141,U0009,2024-06-09,57.0,Mercadona Bilbao
T000142,U0009,2024-07-26,29.8,Mercadona Bilbao
T000143,U0009,2024-09-11,121.0,Mercadona Bilbao
T000144,U0009,2024-10-28,59.5,Mercadona Bilbao
T000145,U0009,2024-12-15,32.8,Mercadona Bilbao
T000146,U0009,2025-01-31,44.7,Mercadona Bilbao
T000147,U0009,2025-03-19,134.45,Mercadona Bilbao
T000148,U0009,2025-05-05,57.4,Mercadona Bilbao
T000149,U0009,2025-06-21,11.6,Mercadona Bilbao
T000150,U0009,2025-08-07,20.3,Mercadona Bilbao
T000151,U0009,2025-09-23,21.1,Mercadona Bilbao
T000152,U0010,2024-03-19,40.9,Mercadona Valencia
T000153,U0010,2024-05-12,57.2,Mercadona Valencia
T000154,U0010,2024-07-06,88.1,Mercadona Valencia
T000155,U0010,2024-08-29,16.6,Mercadona Valencia
T000156,U0010,2024-10-23,142.65,Mercadona Valencia
T000157,U0010,2024-12-17,85.8,Mercadona Valencia
T000158,U0010,2025-02-09,89.4,Mercadona Valencia
T000159,U0010,2025-04-05,11.8,Mercadona Valencia
T000160,U0010,2025-05-30,22.1,Mercadona Valencia
T000161,U0010,2025-07-23,76.45,Mercadona Valencia
T000162,U0010,2025-09-16,55.6,Mercadona Valencia
T000163,U0011,2025-01-24,49.5,Mercadona Bilbao
T000164,U0011,2025-02-08,22.2,Mercadona Bilbao
T000165,U0011,2025-02-23,25.2,Mercadona Bilbao
T000166,U0011,2025-03-10,40.2,Mercadona Bilbao
T000167,U0011,2025-03-26,27.9,Mercadona Bilbao
T000168,U0011,2025-04-10,11.7,Mercadona Bilbao
T000169,U0011,2025-04-25,31.2,Mercadona Bilbao
T000170,U0011,2025-05-10,35.1,Mercadona Bilbao
T000171,U0011,2025-05-26,32.4,Mercadona Bilbao
T000172,U0011,2025-06-10,14.7,Mercadona Bilbao
T000173,U0011,2025-06-25,51.6,Mercadona Bilbao
T000174,U0011,2025-07-10,27.3,Mercadona Bilbao
T000175,U0011,2025-07-26,24.3,Mercadona Bilbao
T000176,U0011,2025-08-10,46.5,Mercadona Bilbao
T000177,U0011,2025-08-25,36.6,Mercadona Bilbao
T000178,U0011,2025-09-09,32.7,Mercadona Bilbao
T000179,U0011,2025-09-25,42.0,Mercadona Bilbao
T000180,U0011,2025-10-10,42.3,Mercadona Bilbao
T000181,U0011,2025-10-25,13.5,Mercadona Bilbao
T000182,U0012,2024-01-17,26.6,Mercadona Bilbao
T000183,U0012,2024-03-01,39.3,Mercadona Bilbao
T000184,U0012,2024-04-14,31.3,Mercadona Bilbao
T000185,U0012,2024-05-28,49.5,Mercadona Bilbao
T000186,U0012,2024-07-11,23.1,Mercadona Bilbao
T000187,U0012,2024-08-25,40.7,Mercadona Bilbao
T000188,U0012,2024-10-08,29.7,Mercadona Bilbao
T000189,U0012,2024-11-21,13.5,Mercadona Bilbao
T000190,U0012,2025-01-04,39.4,Mercadona Bilbao
T000191,U0012,2025-02-17,31.9,Mercadona Bilbao
T000192,U0012,2025-04-03,33.5,Mercadona Bilbao
T000193,U0012,2025-05-17,24.5,Mercadona Bilbao
T000194,U0012,2025-06-30,38.9,Mercadona Bilbao
T000195,U0012,2025-08-13,26.6,Mercadona Bilbao
T000196,U0012,2025-09-26,31.6,Mercadona Bilbao
T000197,U0013,2024-01-14,32.4,Mercadona Madrid
T000198,U0013,2024-02-18,33.0,Mercadona Madrid
T000199,U0013,2024-03-24,30.0,Mercadona Madrid
T000200,U0013,2024-04-28,24.3,Mercadona Madrid
T000201,U0013,2024-06-02,28.5,Mercadona Madrid
T000202,U0013,2024-07-07,56.4,Mercadona Madrid
T000203,U0013,2024-08-11,19.5,Mercadona Madrid
T000204,U0013,2024-09-15,40.8,Mercadona Madrid
T000205,U0013,2024-10-20,45.6,Mercadona Madrid
T000206,U0013,2024-11-24,25.2,Mercadona Madrid
T000207,U0013,2024-12-29,41.1,Mercadona Madrid
T000208,U0013,2025-02-02,40.2,Mercadona Madrid
T000209,U0013,2025-03-09,35.4,Mercadona Madrid
T000210,U0013,2025-04-13,23.7,Mercadona Madrid
T000211,U0013,2025-05-18,52.5,Mercadona Madrid
T000212,U0013,2025-06-22,15.3,Mercadona Madrid
T000213,U0013,2025-07-27,35.7,Mercadona Madrid
T000214,U0013,2025-08-31,49.2,Mercadona Madrid
T000215,U0013,2025-10-05,51.3,Mercadona Madrid
T000216,U0014,2024-10-26,38.4,Mercadona Sevilla
T000217,U0014,2024-11-16,24.8,Mercadona Sevilla
T000218,U0014,2024-12-07,13.9,Mercadona Sevilla
T000219,U0014,2024-12-28,25.9,Mercadona Sevilla
T000220,U0014,2025-01-18,19.4,Mercadona Sevilla
T000221,U0014,2025-02-08,19.6,Mercadona Sevilla
T000222,U0014,2025-03-01,26.1,Mercadona Sevilla
T000223,U0014,2025-03-22,19.9,Mercadona Sevilla
T000224,U0014,2025-04-12,30.4,Mercadona Sevilla
T000225,U0014,2025-05-04,43.0,Mercadona Sevilla
T000226,U0014,2025-05-25,33.2,Mercadona Sevilla
T000227,U0014,2025-06-15,36.0,Mercadona Sevilla
T000228,U0014,2025-07-06,29.1,Mercadona Sevilla
T000229,U0014,2025-07-27,29.4,Mercadona Sevilla
T000230,U0014,2025-08-17,35.3,Mercadona Sevilla
T000231,U0014,2025-09-07,47.1,Mercadona Sevilla
T000232,U0014,2025-09-28,39.0,Mercadona Sevilla
T000233,U0014,2025-10-19,26.3,Mercadona Sevilla
T000234,U0015,2024-01-13,35.4,Mercadona Valencia
T000235,U0015,2024-03-04,32.9,Mercadona Valencia
T000236,U0015,2024-04-24,35.6,Mercadona Valencia
T000237,U0015,2024-06-14,33.2,Mercadona Valencia
T000238,U0015,2024-08-05,35.6,Mercadona Valencia
T000239,U0015,2024-09-25,43.8,Mercadona Valencia
T000240,U0015,2024-11-15,32.6,Mercadona Valencia
T000241,U0015,2025-01-06,38.8,Mercadona Valencia
T000242,U0015,2025-02-26,30.2,Mercadona Valencia
T000243,U0015,2025-04-18,34.5,Mercadona Valencia
T000244,U0015,2025-06-09,29.4,Mercadona Valencia
T000245,U0015,2025-07-30,17.2,Mercadona Valencia
T000246,U0015,2025-09-19,35.5,Mercadona Valencia
T000247,U0016,2025-08-23,152.6,Mercadona Valencia
T000248,U0016,2025-08-27,104.6,Mercadona Valencia
T000249,U0016,2025-09-01,48.7,Mercadona Valencia
T000250,U0016,2025-09-05,88.2,Mercadona Valencia
T000251,U0016,2025-09-10,86.4,Mercadona Valencia
T000252,U0016,2025-09-15,122.6,Mercadona Valencia
T000253,U0016,2025-09-19,124.8,Mercadona Valencia
T000254,U0016,2025-09-24,139.7,Mercadona Valencia
T000255,U0016,2025-09-29,75.5,Mercadona Valencia
T000256,U0016,2025-10-03,110.3,Mercadona Valencia
T000257,U0016,2025-10-08,133.3,Mercadona Valencia
T000258,U0016,2025-10-13,75.8,Mercadona Valencia
T000259,U0016,2025-10-17,69.4,Mercadona Valencia
T000260,U0016,2025-10-22,163.4,Mercadona Valencia
T000261,U0016,2025-10-27,72.9,Mercadona Valencia
T000262,U0016,2025-10-31,100.9,Mercadona Valencia
T000263,U0016,2025-11-05,91.7,Mercadona Valencia
T000264,U0017,2024-02-29,63.05,Mercadona Barcelona
T000265,U0017,2024-05-01,47.45,Mercadona Barcelona
T000266,U0017,2024-07-02,25.5,Mercadona Barcelona
T000267,U0017,2024-09-02,93.4,Mercadona Barcelona
T000268,U0017,2024-11-03,41.85,Mercadona Barcelona
T000269,U0017,2025-01-04,27.5,Mercadona Barcelona
T000270,U0017,2025-03-07,7.6,Mercadona Barcelona
T000271,U0017,2025-05-08,87.55,Mercadona Barcelona
T000272,U0017,2025-07-09,117.65,Mercadona Barcelona
T000273,U0017,2025-09-09,102.95,Mercadona Barcelona
T000274,U0018,2024-04-20,26.9,Mercadona Valencia
T000275,U0018,2024-06-02,22.7,Mercadona Valencia
T000276,U0018,2024-07-16,16.7,Mercadona Valencia
T000277,U0018,2024-08-29,43.0,Mercadona Valencia
T000278,U0018,2024-10-12,26.1,Mercadona Valencia
T000279,U0018,2024-11-24,35.6,Mercadona Valencia
T000280,U0018,2025-01-07,25.4,Mercadona Valencia
T000281,U0018,2025-02-20,30.9,Mercadona Valencia
T000282,U0018,2025-04-05,27.1,Mercadona Valencia
T000283,U0018,2025-05-18,26.5,Mercadona Valencia
T000284,U0018,2025-07-01,30.9,Mercadona Valencia
T000285,U0018,2025-08-14,34.5,Mercadona Valencia
T000286,U0018,2025-09-27,38.2,Mercadona Valencia
T000287,U0019,2025-05-03,64.4,Mercadona Sevilla
T000288,U0019,2025-05-12,68.2,Mercadona Sevilla
T000289,U0019,2025-05-22,166.9,Mercadona Sevilla
T000290,U0019,2025-05-31,77.8,Mercadona Sevilla
T000291,U0019,2025-06-10,124.2,Mercadona Sevilla
T000292,U0019,2025-06-19,162.4,Mercadona Sevilla
T000293,U0019,2025-06-29,141.8,Mercadona Sevilla
T000294,U0019,2025-07-08,175.4,Mercadona Sevilla
T000295,U0019,2025-07-18,66.3,Mercadona Sevilla
T000296,U0019,2025-07-27,78.7,Mercadona Sevilla
T000297,U0019,2025-08-06,63.2,Mercadona Sevilla
T000298,U0019,2025-08-16,50.6,Mercadona Sevilla
T000299,U0019,2025-08-25,137.8,Mercadona Sevilla
T000300,U0019,2025-09-04,132.1,Mercadona Sevilla
T000301,U0019,2025-09-13,113.1,Mercadona Sevilla
T000302,U0019,2025-09-23,73.9,Mercadona Sevilla
T000303,U0019,2025-10-02,138.1,Mercadona Sevilla
T000304,U0019,2025-10-12,126.0,Mercadona Sevilla
T000305,U0019,2025-10-21,110.4,Mercadona Sevilla
T000306,U0019,2025-10-31,95.4,Mercadona Sevilla
T000307,U0020,2024-11-17,32.1,Mercadona Sevilla
T000308,U0020,2024-12-12,21.6,Mercadona Sevilla
T000309,U0020,2025-01-07,55.8,Mercadona Sevilla
T000310,U0020,2025-02-01,56.4,Mercadona Sevilla
T000311,U0020,2025-02-27,30.6,Mercadona Sevilla
T000312,U0020,2025-03-24,24.3,Mercadona Sevilla
T000313,U0020,2025-04-19,44.4,Mercadona Sevilla
T000314,U0020,2025-05-15,64.2,Mercadona Sevilla
T000315,U0020,2025-06-09,35.1,Mercadona Sevilla
T000316,U0020,2025-07-05,42.0,Mercadona Sevilla
T000317,U0020,2025-07-30,37.5,Mercadona Sevilla
T000318,U0020,2025-08-25,61.5,Mercadona Sevilla
T000319,U0020,2025-09-19,30.6,Mercadona Sevilla
T000320,U0020,2025-10-15,19.5,Mercadona Sevilla
T000321,U0021,2024-06-13,45.0,Mercadona Barcelona
T000322,U0021,2024-07-25,38.4,Mercadona Barcelona
T000323,U0021,2024-09-06,53.7,Mercadona Barcelona
T000324,U0021,2024-10-19,40.2,Mercadona Barcelona
T000325,U0021,2024-12-01,27.3,Mercadona Barcelona
T000326,U0021,2025-01-13,18.0,Mercadona Barcelona
T000327,U0021,2025-02-25,22.5,Mercadona Barcelona
T000328,U0021,2025-04-09,38.1,Mercadona Barcelona
T000329,U0021,2025-05-22,43.2,Mercadona Barcelona
T000330,U0021,2025-07-04,15.9,Mercadona Barcelona
T000331,U0021,2025-08-16,42.9,Mercadona Barcelona
T000332,U0021,2025-09-28,49.2,Mercadona Barcelona
T000333,U0022,2025-01-04,10.4,Mercadona Bilbao
T000334,U0022,2025-01-19,41.6,Mercadona Bilbao
T000335,U0022,2025-02-04,42.3,Mercadona Bilbao
T000336,U0022,2025-02-19,47.8,Mercadona Bilbao
T000337,U0022,2025-03-07,17.9,Mercadona Bilbao
T000338,U0022,2025-03-22,38.4,Mercadona Bilbao
T000339,U0022,2025-04-07,37.7,Mercadona Bilbao
T000340,U0022,2025-04-22,43.6,Mercadona Bilbao
T000341,U0022,2025-05-08,20.7,Mercadona Bilbao
T000342,U0022,2025-05-23,39.1,Mercadona Bilbao
T000343,U0022,2025-06-08,37.8,Mercadona Bilbao
T000344,U0022,2025-06-23,23.2,Mercadona Bilbao
T000345,U0022,2025-07-09,44.0,Mercadona Bilbao
T000346,U0022,2025-07-24,35.5,Mercadona Bilbao
T000347,U0022,2025-08-09,25.2,Mercadona Bilbao
T000348,U0022,2025-08-24,20.6,Mercadona Bilbao
T000349,U0022,2025-09-09,33.3,Mercadona Bilbao
T000350,U0022,2025-09-24,25.4,Mercadona Bilbao
T000351,U0022,2025-10-10,34.1,Mercadona Bilbao
T000352,U0022,2025-10-25,35.3,Mercadona Bilbao
T000353,U0023,2025-06-20,38.0,Mercadona Bilbao
T000354,U0023,2025-07-03,9.0,Mercadona Bilbao
T000355,U0023,2025-07-16,19.0,Mercadona Bilbao
T000356,U0023,2025-07-29,30.5,Mercadona Bilbao
T000357,U0023,2025-08-11,40.4,Mercadona Bilbao
T000358,U0023,2025-08-24,39.8,Mercadona Bilbao
T000359,U0023,2025-09-06,30.9,Mercadona Bilbao
T000360,U0023,2025-09-19,29.3,Mercadona Bilbao
T000361,U0023,2025-10-02,33.5,Mercadona Bilbao
T000362,U0023,2025-10-15,24.7,Mercadona Bilbao
T000363,U0023,2025-10-28,20.3,Mercadona Bilbao
T000364,U0024,2024-08-23,30.9,Mercadona Madrid
T000365,U0024,2024-09-29,17.1,Mercadona Madrid
T000366,U0024,2024-11-05,49.0,Mercadona Madrid
T000367,U0024,2024-12-12,32.8,Mercadona Madrid
T000368,U0024,2025-01-18,51.5,Mercadona Madrid
T000369,U0024,2025-02-24,28.3,Mercadona Madrid
T000370,U0024,2025-04-02,35.6,Mercadona Madrid
T000371,U0024,2025-05-09,57.5,Mercadona Madrid
T000372,U0024,2025-06-15,19.5,Mercadona Madrid
T000373,U0024,2025-07-22,59.6,Mercadona Madrid
T000374,U0024,2025-08-28,34.1,Mercadona Madrid
T000375,U0024,2025-10-04,37.8,Mercadona Madrid
T000376,U0025,2024-06-06,99.2,Mercadona Bilbao
T000377,U0025,2024-07-23,177.9,Mercadona Bilbao
T000378,U0025,2024-09-08,87.3,Mercadona Bilbao
T000379,U0025,2024-10-26,50.3,Mercadona Bilbao
T000380,U0025,2024-12-12,85.3,Mercadona Bilbao
T000381,U0025,2025-01-29,124.5,Mercadona Bilbao
T000382,U0025,2025-03-17,111.2,Mercadona Bilbao
T000383,U0025,2025-05-04,158.4,Mercadona Bilbao
T000384,U0025,2025-06-20,116.1,Mercadona Bilbao
T000385,U0025,2025-08-07,58.5,Mercadona Bilbao
T000386,U0025,2025-09-23,109.3,Mercadona Bilbao
T000387,U0026,2025-08-27,24.5,Mercadona Valencia
T000388,U0026,2025-08-30,42.7,Mercadona Valencia
T000389,U0026,2025-09-03,113.5,Mercadona Valencia
T000390,U0026,2025-09-07,78.3,Mercadona Valencia
T000391,U0026,2025-09-11,109.9,Mercadona Valencia
T000392,U0026,2025-09-15,137.3,Mercadona Valencia
T000393,U0026,2025-09-19,55.25,Mercadona Valencia
T000394,U0026,2025-09-23,111.45,Mercadona Valencia
T000395,U0026,2025-09-27,132.4,Mercadona Valencia
T000396,U0026,2025-10-01,96.05,Mercadona Valencia
T000397,U0026,2025-10-05,18.3,Mercadona Valencia
T000398,U0026,2025-10-09,20.05,Mercadona Valencia
T000399,U0026,2025-10-13,82.45,Mercadona Valencia
T000400,U0026,2025-10-17,36.75,Mercadona Valencia
T000401,U0026,2025-10-21,104.35,Mercadona Valencia
T000402,U0026,2025-10-25,94.1,Mercadona Valencia
T000403,U0026,2025-10-29,39.55,Mercadona Valencia
T000404,U0026,2025-11-02,43.95,Mercadona Valencia
T000405,U0026,2025-11-06,16.5,Mercadona Valencia
T000406,U0027,2025-07-05,18.3,Mercadona Madrid
T000407,U0027,2025-07-16,53.8,Mercadona Madrid
T000408,U0027,2025-07-28,34.5,Mercadona Madrid
T000409,U0027,2025-08-08,38.8,Mercadona Madrid
T000410,U0027,2025-08-20,27.9,Mercadona Madrid
T000411,U0027,2025-09-01,24.1,Mercadona Madrid
T000412,U0027,2025-09-12,24.5,Mercadona Madrid
T000413,U0027,2025-09-24,41.8,Mercadona Madrid
T000414,U0027,2025-10-06,33.8,Mercadona Madrid
T000415,U0027,2025-10-17,28.7,Mercadona Madrid
T000416,U0027,2025-10-29,21.2,Mercadona Madrid
T000417,U0028,2024-03-17,50.4,Mercadona Sevilla
T000418,U0028,2024-04-29,39.6,Mercadona Sevilla
T000419,U0028,2024-06-11,33.8,Mercadona Sevilla
T000420,U0028,2024-07-24,58.1,Mercadona Sevilla
T000421,U0028,2024-09-05,32.1,Mercadona Sevilla
T000422,U0028,2024-10-18,38.9,Mercadona Sevilla
T000423,U0028,2024-11-30,26.7,Mercadona Sevilla
T000424,U0028,2025-01-12,46.6,Mercadona Sevilla
T000425,U0028,2025-02-24,63.3,Mercadona Sevilla
T000426,U0028,2025-04-08,17.4,Mercadona Sevilla
T000427,U0028,2025-05-21,49.5,Mercadona Sevilla
T000428,U0028,2025-07-03,45.5,Mercadona Sevilla
T000429,U0028,2025-08-15,32.5,Mercadona Sevilla
T000430,U0028,2025-09-27,22.0,Mercadona Sevilla
T000431,U0029,2024-06-14,153.9,Mercadona Madrid
T000432,U0029,2024-07-09,144.1,Mercadona Madrid
T000433,U0029,2024-08-04,113.8,Mercadona Madrid
T000434,U0029,2024-08-30,125.4,Mercadona Madrid
T000435,U0029,2024-09-24,126.4,Mercadona Madrid
T000436,U0029,2024-10-20,109.9,Mercadona Madrid
T000437,U0029,2024-11-15,149.2,Mercadona Madrid
T000438,U0029,2024-12-10,92.8,Mercadona Madrid
T000439,U0029,2025-01-05,89.7,Mercadona Madrid
T000440,U0029,2025-01-31,126.1,Mercadona Madrid
T000441,U0029,2025-02-26,129.6,Mercadona Madrid
T000442,U0029,2025-03-23,122.2,Mercadona Madrid
T000443,U0029,2025-04-18,55.3,Mercadona Madrid
T000444,U0029,2025-05-14,116.9,Mercadona Madrid
T000445,U0029,2025-06-08,94.4,Mercadona Madrid
T000446,U0029,2025-07-04,72.7,Mercadona Madrid
T000447,U0029,2025-07-30,46.5,Mercadona Madrid
T000448,U0029,2025-08-24,139.7,Mercadona Madrid
T000449,U0029,2025-09-19,161.8,Mercadona Madrid
T000450,U0029,2025-10-15,103.0,Mercadona Madrid
T000451,U0030,2024-10-18,64.5,Mercadona Barcelona
T000452,U0030,2024-11-07,124.8,Mercadona Barcelona
T000453,U0030,2024-11-27,77.2,Mercadona Barcelona
T000454,U0030,2024-12-18,52.1,Mercadona Barcelona
T000455,U0030,2025-01-07,129.2,Mercadona Barcelona
T000456,U0030,2025-01-28,98.9,Mercadona Barcelona
T000457,U0030,2025-02-17,157.4,Mercadona Barcelona
T000458,U0030,2025-03-09,152.3,Mercadona Barcelona
T000459,U0030,2025-03-30,112.4,Mercadona Barcelona
T000460,U0030,2025-04-19,154.2,Mercadona Barcelona
T000461,U0030,2025-05-10,97.3,Mercadona Barcelona
T000462,U0030,2025-05-30,101.0,Mercadona Barcelona
T000463,U0030,2025-06-20,115.6,Mercadona Barcelona
T000464,U0030,2025-07-10,75.8,Mercadona Barcelona
T000465,U0030,2025-07-30,125.8,Mercadona Barcelona
T000466,U0030,2025-08-20,125.5,Mercadona Barcelona
T000467,U0030,2025-09-09,89.1,Mercadona Barcelona
T000468,U0030,2025-09-30,110.3,Mercadona Barcelona
T000469,U0030,2025-10-20,159.9,Mercadona Barcelona
T000470,U0031,2025-04-15,36.7,Mercadona Valencia
